DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
kznQBykTtJt,2021Q3,TMCWi1jV65s,Gi32xq0roZx,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,RtzNjHlVYXH,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,ru0hDqbhyku,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,wQEJHaLbSn1,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,hOmBYbgBZ0O,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,oMV1pF48ZLc,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,qbFLLU6Fimz,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,yuVedHVF5au,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,SkrleMTebAa,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,e6laBt0a4H5,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,g0Y3klhGDYM,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,vG5FAcGH9US,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,TMCWi1jV65s,qaqq0s49le3,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,smnrklQUooP,b1veZoOczoR,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,smnrklQUooP,FR9ZDmeA4Az,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,smnrklQUooP,jBJaVu6svtP,JVafaPfopJf,1
JTmqyoIWNsj,2021Q3,smnrklQUooP,xxGho4palSB,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,smnrklQUooP,YVmIiOo8V17,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,smnrklQUooP,HDhg4LTHBRa,JVafaPfopJf,4
YvPOllVtINQ,2021Q3,smnrklQUooP,rAvlLbG5dAb,JVafaPfopJf,31
YvPOllVtINQ,2021Q3,smnrklQUooP,dpFsZrc6Ffc,JVafaPfopJf,17
YvPOllVtINQ,2021Q3,smnrklQUooP,A30fQSASmum,JVafaPfopJf,31
YvPOllVtINQ,2021Q3,smnrklQUooP,d7veFTMK1Jw,JVafaPfopJf,74
YvPOllVtINQ,2021Q3,smnrklQUooP,I0zEWK2C11q,JVafaPfopJf,110
YvPOllVtINQ,2021Q3,smnrklQUooP,RKp8rxNgQAX,JVafaPfopJf,104
YvPOllVtINQ,2021Q3,smnrklQUooP,MRnYv4nt5gc,JVafaPfopJf,102
YvPOllVtINQ,2021Q3,smnrklQUooP,wOxLLZhNrPi,JVafaPfopJf,103
YvPOllVtINQ,2021Q3,smnrklQUooP,ONQ9uSvOkGB,JVafaPfopJf,72
YvPOllVtINQ,2021Q3,smnrklQUooP,U9R0CAPL0AS,JVafaPfopJf,74
